travel_type,rating,label,covid,is_local,aspect_sentiment,topic_0,topic_1,topic_3,topic_4,topic_2,overall_textblob_polarity
,,,PostCovid,1,"[[hotel, affordable, 0], [pool, affordable, 1]]",0.0,0.0,,,,0.6
solo,,,PostCovid,0,"[[room, comfortable, 3]]",,,0.4,,,0.4115151515151515
couple,3.0,Neutral,PostCovid,0,"[[check, surprising, 0], [check, long, 0]]",0.32499999999999996,,,,,0.3817460317460318
,,,PostCovid,1,"[[room, excellent, 3], [room, polite, 3]]",,,0.5,,,0.5074074074074074
,,,PostCovid,0,"[[room, double, 3], [room, twin, 3], [hotel, different, 0]]",0.0,,0.0,,,0.12000000000000002
,,,PostCovid,0,"[[airport, nice, 0], [airport, close, 0], [room, 'overnight staff', 3], [room, excellent, 3], [room, professional, 3]]",0.3,,0.3666666666666667,,,0.25476190476190474
business,,,PostCovid,0,"[[room, available, 3], [room, 'longer available', 3]]",,,0.4,,,0.32999999999999996
family,,,PostCovid,0,"[[hotel, great, 0], [area, public, 4], [area, safe, 4], [day, hot, 2]]",0.8,,,0.25,0.25,0.3851111111111111
,,,PostCovid,1,"[[hotel, terminal, 0], [room, clean, 3]]",0.0,,0.3666666666666667,,,-0.01319444444444444
,,,PostCovid,1,"[[room, comfortable, 3], [room, spacious, 3], [room, limited, 3], [time, difficult, 2]]",,,0.10952380952380954,,-0.5,0.07285714285714287
,2.0,Negative,PostCovid,0,"[[hotel, covid, 0]]",0.0,,,,,0.3691176470588235
,,,PostCovid,0,"[[area, good, 4]]",,,,0.7,,0.3666666666666667
,,,PostCovid,1,"[[hotel, glad, 0]]",0.5,,,,,0.4428571428571428
,,,PostCovid,1,"[[room, clean, 3], [bed, single, 3]]",,,0.14761904761904765,,,0.14880952380952384
,,,PostCovid,0,"[[hotel, reasonable, 0], [pool, comfortable, 1], [staff, friendly, 2], [staff, helpful, 2], [food, traditional, 4]]",0.2,0.4,,0.0,0.1875,0.44722222222222224
,,,PostCovid,0,"[[room, perfect, 3], [room, 'overnight stay', 3], [staff, plenty, 2], [staff, nearby, 2]]",,,0.5,,0.0,0.48299319727891155
,,,PostCovid,0,"[[flight, convenient, 0], [pool, functional, 1]]",0.0,0.0,,,,-0.12999999999999995
,,,PostCovid,0,"[[area, bleak, 4], [food, average, 4]]",,,,-0.575,,-0.024999999999999967
,,,PostCovid,0,"[[hotel, great, 0], [staff, friendly, 2], [staff, helpful, 2], [breakfast, close, 1], [breakfast, 'reasonably close', 1], [breakfast, good, 1], [area, local, 4], [area, local, 4]]",0.8,0.3,,0.0,0.1875,0.42250000000000004
family,,,PostCovid,1,"[[pool, excellent, 1], [floor, top, 3]]",,1.0,0.5,,,0.35714285714285715
couple,,,PostCovid,0,"[[staff, great, 2]]",,,,,0.8,0.5
,,,PostCovid,0,"[[room, warm, 3], [room, even, 3], [day, special, 2]]",,,0.3,,0.35714285714285715,0.46130952380952384
,,,PostCovid,0,"[[food, colder, 4], [stay, good, 2]]",,,,0.0,0.7,0.2866666666666666
,,,PostCovid,0,"[[airport, close, 0], [food, spacious, 4], [staff, excellent, 2]]",0.0,,,0.0,1.0,0.11785714285714284
business,,,PostCovid,0,"[[stay, overall, 2], [stay, excellent, 2], [check, excellent, 0], [staff, best, 2], [staff, 'particularly best', 2], [airport, late, 0]]",0.35,,,,0.75,0.35500000000000004
,,,PostCovid,0,"[[night, full, 0], [pool, clean, 1], [pool, spacious, 1]]",0.35,0.18333333333333335,,,,0.44722222222222224
,,,PostCovid,1,"[[check, friendly, 0], [check, fast, 0], [time, approachable, 2], [time, first, 2]]",0.2875,,,,0.125,0.2375
,,,PostCovid,0,"[[time, 'overnight lay', 2], [room, standard, 3]]",,,0.0,,0.0,0.2611111111111111
,,,PostCovid,0,"[[staff, clean, 2], [staff, 'relatively clean', 2]]",,,,,0.3666666666666667,0.39333333333333337
,,,PostCovid,0,"[[bed, nice, 3]]",,,0.6,,,0.15866419294990725
,,,PostCovid,0,"[[stay, comfortable, 2]]",,,,,0.4,0.44375
,,,PostCovid,0,"[[time, last, 2], [bathroom, old, 3], [bathroom, 'also room', 3]]",,,0.05,,0.0,0.06999999999999999
,,,PostCovid,0,"[[airport, handy, 0]]",0.6,,,,,0.6
,,,PostCovid,0,"[[staff, nice, 2], [room, nice, 3]]",,,0.6,,0.6,0.5924603174603175
,,,PostCovid,0,"[[room, overnight, 3], [room, musty, 3], [stay, pleasant, 2], [stay, helpful, 2]]",,,0.0,,0.36666666666666664,0.42777777777777776
,,,PostCovid,0,"[[love, wonderful, 1], [love, natural, 1], [hotel, ideal, 0]]",0.9,0.525,,,,0.5222222222222223
,5.0,Positive,PostCovid,0,"[[help, extra, 2], [bathroom, disabled, 3], [area, many, 4], [area, interesting, 4], [area, beautiful, 4], [area, best, 4]]",,,-0.2,0.7125,0.0,0.47813852813852814
,,,PostCovid,1,"[[time, overall, 2], [time, fruitful, 2]]",,,,,0.0,0.0
,,,PostCovid,1,"[[hotel, terrible, 0], [hotel, mid, 0], [food, plain, 4]]",-0.5,,,-0.21428571428571427,,-0.06648351648351648
,5.0,Positive,PostCovid,0,"[[food, nice, 4]]",,,,0.6,,0.41111111111111115
,,,PostCovid,0,"[[staff, cheap, 2], [staff, 'relatively cheap', 2], [staff, shabby, 2], [staff, interior, 2]]",,,,,0.2,0.028571428571428574
,,,PostCovid,0,"[[day, pleasant, 2], [staff, pleasant, 2], [staff, 'overall pleasant', 2]]",,,,,0.611111111111111,0.29464285714285715
,,,PostCovid,0,"[[room, many, 3]]",,,0.5,,,0.32222222222222224
,,,PostCovid,0,"[[staff, friendly, 2], [staff, 'specially one', 2]]",,,,,0.3660714285714286,0.29285714285714287
,,,PostCovid,0,"[[pool, great, 1], [staff, great, 2], [staff, friendly, 2], [staff, helpful, 2], [hotel, exterior, 0], [room, dirty, 3], [room, usual, 3], [room, standard, 3]]",0.0,0.8,-0.2833333333333333,,0.39166666666666666,0.2708333333333333
,,,PostCovid,0,"[[staff, great, 2], [hotel, longer, 0]]",0.0,,,,0.8,0.10000000000000002
,,,PostCovid,0,"[[hotel, good, 0], [check, free, 0], [check, neat, 0], [check, convenient, 0], [hotel, rustic, 0]]",0.22000000000000003,,,,,0.38166666666666665
,5.0,Positive,PostCovid,0,"[[staff, lovely, 2], [room, big, 3], [food, great, 4]]",,,0.0,0.8,0.5,0.36666666666666664
,4.0,Positive,PostCovid,1,"[[hotel, free, 0]]",0.4,,,,,0.5333333333333333
,,,PostCovid,0,"[[staff, nice, 2]]",,,,,0.6,0.29583333333333334
,,,PostCovid,0,"[[work, good, 3]]",,,0.7,,,0.48333333333333334
,,,PostCovid,0,"[[staff, rude, 2], [day, next, 2], [room, extra, 3], [hotel, available, 0], [hotel, worst, 0]]",-0.3,,0.0,,-0.15,-0.34444444444444444
,,,PostCovid,0,"[[hotel, excellent, 0], [staff, convenient, 2]]",1.0,,,,0.0,0.5700000000000001
,,,PostCovid,0,"[[work, good, 3]]",,,0.7,,,0.6678571428571428
,,,PostCovid,1,"[[room, better, 3], [staff, good, 2]]",,,0.5,,0.7,0.5399999999999999
,,,PostCovid,0,"[[stay, nice, 2], [stay, nice, 2], [airport, close, 0]]",0.0,,,,0.6,0.6371428571428571
,,,PostCovid,0,"[[hotel, early, 0], [time, previous, 2]]",0.1,,,,-0.16666666666666666,0.011942959001782527
,,,PostCovid,1,"[[room, wonderful, 3], [room, glad, 3], [town, convenient, 4], [town, 'well convenient', 4]]",,,0.75,0.0,,0.4309523809523809
,,,PostCovid,0,"[[staff, poor, 2], [check, late, 0], [staff, 'likely booked', 2], [staff, 'fully booked', 2], [bed, rusty, 3]]",-0.3,,0.0,,-0.13333333333333333,-0.14615384615384613
,,,PostCovid,0,"[[staff, 'ago better', 2], [hotel, ago, 0], [hotel, 'friendly ago', 0], [airport, enough, 0]]",0.125,,,,0.5,0.13020833333333331
,,,PostCovid,0,"[[room, spacious, 3]]",,,0.0,,,0.16250000000000003
,,,PostCovid,0,"[[food, good, 4], [staff, helpful, 2]]",,,,0.7,0.0,0.43999999999999995
business,,,PostCovid,0,"[[hotel, 'later delay', 0], [time, next, 2]]",0.0,,,,0.0,0.4291666666666667
family,,,PostCovid,0,"[[night, late, 0]]",-0.3,,,,,0.4208333333333333
,,,PostCovid,0,"[[airport, close, 0], [hotel, comfy, 0]]",0.0,,,,,0.5375
,,,PostCovid,0,"[[pool, best, 1], [pool, 'also best', 1]]",,1.0,,,,0.58125
,,,PostCovid,0,"[[hotel, nice, 0], [work, old, 3]]",0.6,,0.1,,,0.024999999999999984
couple,,,PostCovid,0,"[[staff, front, 2], [room, slow, 3], [room, 'little slow', 3], [bed, excellent, 3]]",,,0.15208333333333332,,0.0,0.2162037037037037
,,,PostCovid,0,"[[check, 'well received', 0]]",0.0,,,,,0.46452380952380956
,,,PostCovid,0,"[[room, clean, 3], [room, comfortable, 3], [room, daily, 3], [flight, friendly, 0], [day, last, 2]]",0.375,,0.2555555555555556,,0.0,0.25555555555555554
,,,PostCovid,0,"[[staff, 'well trained', 2]]",,,,,0.0,-0.05
,,,PostCovid,0,"[[bed, good, 3]]",,,0.7,,,0.33999999999999997
,,,PostCovid,1,"[[hotel, ready, 0], [time, long, 2]]",0.2,,,,-0.05,-0.0125
,,,PostCovid,0,"[[hotel, short, 0], [food, local, 4]]",0.0,,,0.0,,0.24166666666666667
,,,PostCovid,1,"[[check, early, 0], [check, late, 0]]",-0.09999999999999999,,,,,0.24791666666666667
,,,PostCovid,0,"[[time, major, 2]]",,,,,0.0625,0.1829861111111111
