,0,1,2,3,4,5
0,hotel,hotel,staff,hotel,room,room
1,good,great,stay,airport,pool,good
2,walk,stay,hotel,room,breakfast,hotel
3,shop,room,us,check,good,bed
4,food,good,help,stay,nice,bathroom
5,airport,staff,thank,flight,drink,like
6,great,nice,time,termin,food,shower
7,restaur,pool,great,night,club,one
8,also,clean,room,one,buffet,clean
9,close,excel,check,get,also,floor
10,stay,comfort,alway,time,free,work
11,bu,breakfast,excel,hour,love,need
12,area,well,make,transit,bathroom,stay
13,place,help,back,book,use,get
14,free,would,day,day,bed,door
15,road,love,made,long,area,bit
16,across,recommend,wonder,us,well,still
17,near,place,special,would,view,time
18,mall,restaur,guest,morn,bar,open
19,taxi,night,best,late,hotel,small
