,traveller_username,date,covid,star,rating,aspect_sentiment,count_topic_4,topic_4,count_topic_1,topic_1,count_topic_0,topic_0,count_topic_2,topic_2,count_topic_3,topic_3
0,Carolyn H,2023-09-01,PostCovid,5,5.0,"[[time, everi, 4]]",1.0,0.0,,,,,,,,
1,srquarry,2023-03-01,PostCovid,5,,"[[hotel, best, 1]]",,,1.0,1.0,,,,,,
2,Maria del Mar M,2023-08-01,PostCovid,5,5.0,[],,,,,,,,,,
3,MARIA DEL MAR M,2023-08-01,PostCovid,5,5.0,"[[staff, compromis, 0]]",,,,,1.0,0.0,,,,
4,Alanis K,2023-09-01,PostCovid,5,5.0,"[[club, strait, 0], [time, next, 4]]",1.0,0.0,,,1.0,0.0,,,,
5,Jolene B,2023-08-01,PostCovid,5,4.0,"[[room, nice, 2]]",,,,,,,1.0,0.6,,
6,Navigator25269211532,2023-09-01,PostCovid,5,5.0,"[[staycat, anniversari, 3]]",,,,,,,,,1.0,0.0
7,수영 권,2023-09-01,PostCovid,5,5.0,"[[time, first, 4]]",1.0,0.25,,,,,,,,
8,nicki209,2023-09-01,PostCovid,5,5.0,"[[room, singapor, 2], [club, great, 0], [room, pastri, 2]]",,,,,1.0,0.8,2.0,0.0,,
9,Smelltheflower,2022-10-01,PostCovid,5,3.0,"[[singapor, 'best locat', 0], [view, great, 0]]",,,,,2.0,0.9,,,,
10,Esther PY,2023-08-01,PostCovid,5,5.0,"[[hotel, singapor, 1], [club, strait, 0], [staff, dedic, 0], [visit, last, 0], [club, strait, 0], [stay, entir, 0], [stay, 'much entir', 0], [day, great, 4], [day, select, 4]]",2.0,0.4,1.0,0.0,6.0,0.03333333333333333,,,,
11,Christal,2023-09-01,PostCovid,5,5.0,"[[time, second, 4], [time, second, 4], [time, next, 4]]",3.0,0.0,,,,,,,,
12,Navigate46932432775,2023-09-01,PostCovid,5,5.0,"[[cake, high, 3], [cake, choic, 3]]",,,,,,,,,2.0,0.08
13,Bernard Ho,2023-09-01,PostCovid,5,5.0,"[[guest, satisfi, 4], [staff, possibl, 0], [bay, much, 0]]",1.0,0.0,,,2.0,0.1,,,,
14,Chris Saunders,2023-09-01,PostCovid,5,5.0,"[[servic, unparallel, 3], [team, incred, 3]]",,,,,,,,,2.0,0.0
15,gazzz1,2023-09-01,PostCovid,5,4.0,[],,,,,,,,,,
16,WheezyandOJ,2023-09-01,PostCovid,5,5.0,"[[hotel, great, 1], [food, great, 3], [food, choic, 3]]",,,1.0,0.8,,,,,2.0,0.4
17,Terry M,2023-09-01,PostCovid,5,5.0,"[[hotel, servic, 1], [staff, great, 0]]",,,1.0,0.0,1.0,0.8,,,,
18,Chatterbox,2023-09-01,PostCovid,5,5.0,"[[hotel, servic, 1], [hotel, impecc, 1], [room, long, 2]]",,,2.0,0.0,,,1.0,-0.05,,
19,Josanne S,2023-02-01,PostCovid,5,5.0,"[[day, singapor, 4], [staff, good, 0], [food, good, 3]]",1.0,0.0,,,1.0,0.7,,,1.0,0.7
