travel_type,rating,label,covid,is_local,aspect_sentiment,topic_2,topic_1,topic_0,topic_5,topic_4,topic_3,overall_textblob_polarity
couple,5.0,Positive,PostCovid,0,"[[time, everi, 2]]",0.0,,,,,,0.5416666666666666
business,5.0,Positive,PostCovid,0,"[[time, next, 2]]",0.0,,,,,,0.2347222222222222
family,4.0,Positive,PostCovid,0,"[[room, nice, 1]]",,0.6,,,,,0.588888888888889
couple,5.0,Positive,PostCovid,0,"[[hotel, warm, 0]]",,,0.6,,,,0.43125
couple,5.0,Positive,PostCovid,0,"[[time, first, 2], [hotel, best, 0], [hotel, choic, 0]]",0.25,,0.5,,,,0.35000000000000003
couple,5.0,Positive,PostCovid,0,"[[club, great, 5], [room, pastri, 1]]",,0.0,,0.8,,,0.4871428571428571
family,3.0,Neutral,PostCovid,0,"[[view, great, 4], [room, best, 1], [area, much, 0]]",,1.0,0.2,,0.8,,0.4444444444444445
,5.0,Positive,PostCovid,0,"[[staff, heartfelt, 2], [visit, last, 4], [day, great, 1], [day, select, 1]]",0.0,0.4,,,0.0,,0.48055555555555557
,5.0,Positive,PostCovid,1,"[[time, second, 2], [time, second, 2], [time, next, 2]]",0.0,,,,,,0.26666666666666666
,5.0,Positive,PostCovid,0,"[[tea, high, 5], [food, high, 3], [food, choic, 3]]",,,,0.16,,0.08,0.4633333333333334
,5.0,Positive,PostCovid,1,"[[staff, possibl, 2], [bay, much, 4]]",0.0,,,,0.2,,0.1902901785714286
,5.0,Positive,PostCovid,0,"[[team, incred, 2]]",0.0,,,,,,0.5122222222222222
,4.0,Positive,PostCovid,0,"[[room, central, 1]]",,0.0,,,,,0.43429487179487175
,5.0,Positive,PostCovid,0,"[[dine, fine, 3], [hotel, great, 0], [food, great, 3], [food, choic, 3]]",,,0.8,,,0.4055555555555556,0.562962962962963
,5.0,Positive,PostCovid,0,"[[hotel, servic, 0]]",,,0.0,,,,0.5375000000000001
,5.0,Positive,PostCovid,0,"[[hotel, servic, 0], [hotel, impecc, 0], [room, long, 1]]",,-0.05,0.0,,,,0.196328320802005
,5.0,Positive,PostCovid,0,"[[staff, good, 2], [food, good, 3]]",0.7,,,,,0.7,0.4833333333333334
,5.0,Positive,PostCovid,0,"[[hotel, best, 0], [team, chief, 2]]",0.0,,1.0,,,,0.5111111111111112
,5.0,Positive,PostCovid,0,"[[hotel, fantast, 0], [hotel, modern, 0], [staff, big, 2]]",0.0,,0.1,,,,0.29545454545454547
,5.0,Positive,PostCovid,0,"[[time, next, 2], [room, much, 1]]",0.0,0.2,,,,,0.5176470588235293
,5.0,Positive,PostCovid,1,"[[place, great, 4], [view, great, 4], [time, great, 2]]",0.8,,,,0.8,,0.8083333333333332
,5.0,Positive,PostCovid,0,"[[hotel, usual, 0]]",,,-0.25,,,,0.41850000000000004
,5.0,Positive,PostCovid,0,"[[help, 'extra mile', 2], [buffet, earli, 3], [pool, nice, 4], [day, certain, 1]]",0.0,0.21428571428571427,,,0.6,0.0,0.30206349206349203
,5.0,Positive,PostCovid,1,"[[night, spent, 4], [view, anniversari, 4], [hotel, special, 0]]",,,0.35714285714285715,,-0.05,,0.520079365079365
,5.0,Positive,PostCovid,0,"[[staff, 'well room', 2], [staff, clean, 2], [pool, whole, 4], [time, better, 2]]",0.2888888888888889,,,,0.2,,0.381969696969697
,5.0,Positive,PostCovid,0,"[[room, extra, 1]]",,0.0,,,,,0.3977843915343915
,5.0,Positive,PostCovid,0,"[[wonder, environ, 2], [birthday, nice, 3]]",0.0,,,,,0.6,0.5875
,5.0,Positive,PostCovid,0,"[[birthday, celebr, 3], [wonder, special, 2]]",0.35714285714285715,,,,,0.0,0.49017857142857146
,5.0,Positive,PostCovid,0,"[[club, particular, 5], [team, pleasant, 2]]",0.7333333333333333,,,0.16666666666666666,,,0.37035714285714283
