,0,1,2,3,4,5
0,stay,room,check,hotel,room,food
1,staff,bed,hotel,stay,pool,hotel
2,hotel,hotel,room,airport,nice,local
3,great,shower,us,great,hotel,place
4,room,bathroom,flight,room,good,away
5,club,stay,book,good,view,shop
6,help,good,time,staff,breakfast,good
7,us,night,day,walk,swim,near
8,excel,one,hour,termin,great,grand
9,thank,sleep,desk,comfort,runway,walk
10,time,like,one,night,airport,also
11,love,need,get,excel,area,beach
12,alway,would,even,well,floor,area
13,good,bath,late,clean,love,east
14,enjoy,get,airport,flight,clean,road
15,back,water,front,restaur,plane,mani
16,wonder,could,wait,breakfast,well,park
17,would,bit,ask,nice,food,market
18,best,use,stay,would,gym,hawker
19,make,comfort,call,help,termin,bu
