,0,1,2,3,4
0,hotel,food,room,us,stay
1,pool,good,check,birthday,hotel
2,view,tea,hotel,thank,staff
3,great,great,time,check,great
4,stay,restaur,stay,cake,club
5,room,afternoon,get,wed,room
6,bay,dinner,one,also,help
7,good,buffet,would,day,excel
8,night,swiss,book,special,time
9,nice,nice,night,team,would
10,shop,excel,even,made,best
11,floor,staff,pool,even,back
12,breakfast,attent,like,gave,wonder
13,one,lunch,day,park,alway
14,well,select,could,make,us
15,also,love,floor,n,thank
16,walk,dine,go,wife,well
17,mall,well,staff,went,fantast
18,food,breakfast,bed,help,love
19,place,come,wait,staff,made
