,0,1,2,3
0,room,room,hotel,hotel
1,shower,hotel,good,stay
2,water,small,great,staff
3,good,one,breakfast,room
4,bathroom,stay,stay,check
5,small,night,room,great
6,pool,get,walk,us
7,area,us,nice,help
8,well,breakfast,staff,good
9,bed,even,clean,time
10,hot,book,small,thank
11,floor,bed,pool,nice
12,also,could,well,clean
13,space,time,comfort,day
14,free,day,food,front
15,breakfast,bad,night,would
16,use,size,area,back
17,one,like,excel,come
18,avail,good,close,alway
19,high,would,also,also
