,0,1,2,3,4
0,hotel,hotel,room,hotel,room
1,stay,good,hotel,great,small
2,staff,walk,check,room,bathroom
3,breakfast,room,us,stay,good
4,good,station,stay,good,shower
5,room,breakfast,time,staff,bed
6,like,near,one,nice,area
7,great,small,night,clean,breakfast
8,well,restaur,staff,breakfast,pool
9,holiday,close,day,help,one
10,make,area,book,pool,hotel
11,love,min,even,comfort,water
12,excel,clean,recept,night,floor
13,day,food,could,would,space
14,would,shop,back,small,well
15,place,place,get,love,window
16,best,taxi,next,view,use
17,time,also,wait,well,night
18,help,away,ask,recommend,view
19,thank,around,door,check,also
