,0,1,2,3,4,5
0,hotel,view,staff,room,club,food
1,room,pool,stay,hotel,tea,birthday
2,great,hotel,hotel,check,drink,dinner
3,good,stay,us,time,afternoon,great
4,stay,room,help,get,cocktail,good
5,view,bay,thank,stay,food,restaur
6,staff,night,check,one,breakfast,cake
7,breakfast,floor,great,book,even,us
8,shop,one,time,would,suit,buffet
9,nice,sand,made,us,access,nice
10,excel,garden,make,like,high,lunch
11,food,best,room,bed,snack,staff
12,well,worth,back,even,enjoy,back
13,clean,top,excel,day,staff,come
14,comfort,th,alway,guest,free,dine
15,walk,great,special,night,level,love
16,restaur,place,wonder,floor,great,enjoy
17,help,visit,would,wait,good,n
18,area,mall,team,need,benefit,friend
19,also,go,best,good,excel,excel
