,0,1,2,3,4
0,check,breakfast,hotel,hotel,room
1,room,pool,room,stay,hotel
2,late,hotel,good,staff,one
3,us,room,stay,good,small
4,free,great,walk,room,bed
5,flight,good,great,help,get
6,phone,small,breakfast,great,night
7,hotel,area,clean,nice,stay
8,even,well,staff,thank,bathroom
9,call,roof,nice,clean,floor
10,day,view,small,us,door
11,offer,holiday,restaur,time,time
12,use,night,station,would,us
13,shower,gym,place,love,two
14,avail,stay,close,excel,go
15,staff,shower,comfort,recommend,clean
16,night,swim,well,back,book
17,book,nice,near,come,like
18,love,new,food,place,even
19,great,love,also,alway,could
