,0,1,2,3,4
0,hotel,room,quay,hotel,shower
1,good,hotel,hotel,stay,water
2,room,small,clark,room,good
3,great,bed,breakfast,staff,use
4,stay,good,pool,check,free
5,nice,floor,room,us,room
6,breakfast,one,area,help,pillow
7,staff,bathroom,holiday,great,bathroom
8,clean,door,walk,time,towel
9,walk,get,inn,good,tea
10,small,size,express,thank,avail
11,comfort,clean,stay,day,small
12,food,like,night,would,bed
13,place,night,great,book,roof
14,help,two,small,clean,hot
15,station,space,well,front,breakfast
16,well,open,new,love,hand
17,restaur,even,bar,back,night
18,close,next,one,desk,recept
19,excel,thing,view,night,one
